"","Diurnal","Nocturnal","Polyphasic"
"620",0,1,0
"621",0,1,0
"622",2e-04,0.9998,0
"623",0,0.9996,4e-04
"624",0,0.9996,4e-04
"625",0,1,0
"626",0,0.9996,4e-04
"627",0,0.9984,0.0016
"628",0,1,0
"629",0,0.9898,0.0102
"630",2e-04,0.9994,4e-04
"631",0,1,0
"632",0,1,0
"633",8e-04,0.999,2e-04
"634",0,1,0
"635",0,1,0
"636",0,1,0
"637",0,0.9986,0.0014
"638",0,0.9884,0.0116
"639",0,1,0
"640",0,0.9996,4e-04
"641",0,0.9998,2e-04
"642",6e-04,0.998,0.0014
"643",0.009,0.9818,0.0092
"644",0,0.9938,0.0062
"645",2e-04,0.9848,0.015
"646",4e-04,0.9988,8e-04
"647",8e-04,0.9722,0.027
"648",0.0022,0.9482,0.0496
"649",0.0048,0.9352,0.06
"650",0.0306,0.7162,0.2532
"651",0.0372,0.5844,0.3784
"652",0.0188,0.7046,0.2766
"653",0.0198,0.6774,0.3028
"654",0.0126,0.6972,0.2902
"655",0.0048,0.668,0.3272
"656",0.0012,0.0754,0.9234
"657",0.0016,0.0154,0.983
"658",0,0.0072,0.9928
"659",2e-04,0.001,0.9988
"660",0,0,1
"661",0,0,1
"662",0,0,1
"663",0,0,1
"664",0.0012,0,0.9988
"665",0.0062,0,0.9938
"666",0.747,0,0.253
"667",0.944,0,0.056
"668",0.006,0,0.994
"669",0.0088,0,0.9912
"670",0.0098,2e-04,0.99
"671",0.011,2e-04,0.9888
"672",0.0136,2e-04,0.9862
"673",2e-04,2e-04,0.9996
"674",0.0028,4e-04,0.9968
"675",0,0,1
"676",4e-04,0.001,0.9986
"677",0.0168,8e-04,0.9824
"678",0.0318,8e-04,0.9674
"679",0.728,2e-04,0.2718
"680",0,0,1
"681",0,0,1
"682",0,0,1
"683",0,0,1
"684",0,2e-04,0.9998
"685",0.0012,0,0.9988
"686",8e-04,0,0.9992
"687",0.003,2e-04,0.9968
"688",0.003,0,0.997
"689",0.0068,0,0.9932
"690",0.004,0,0.996
"691",0.0066,0,0.9934
"692",0.0026,0.0038,0.9936
"693",0.0128,0.0024,0.9848
"694",0,2e-04,0.9998
"695",0,4e-04,0.9996
"696",0.363,2e-04,0.6368
"697",0.9018,0,0.0982
"698",0.9652,0,0.0348
"699",0,0.002,0.998
"700",0,8e-04,0.9992
"701",0,0,1
"702",0.0012,0,0.9988
"703",2e-04,4e-04,0.9994
"704",0.0104,0,0.9896
"705",2e-04,0.001,0.9988
"706",2e-04,0.0062,0.9936
"707",2e-04,0.0018,0.998
"708",0,0.0114,0.9886
"709",0,2e-04,0.9998
"710",0,0,1
"711",0,0,1
"712",4e-04,6e-04,0.999
"713",0.0114,0.0034,0.9852
"714",0.002,0.0596,0.9384
"715",0,0,1
"716",0,2e-04,0.9998
"717",0,0,1
"718",0,0,1
"719",0,0,1
"720",0,0,1
"721",0,2e-04,0.9998
"722",0,0,1
"723",0,2e-04,0.9998
"724",0.5722,0.004,0.4238
"725",0.003,0.9934,0.0036
"726",0.0022,0.9946,0.0032
"727",0.0044,0.774,0.2216
"728",0.3308,0.1768,0.4924
"729",0.5194,0.008,0.4726
"730",0.7014,0.0014,0.2972
"731",0.8302,0.0016,0.1682
"732",0.8858,0.005,0.1092
"733",0.9794,0,0.0206
"734",0.9236,0.0054,0.071
"735",0.9932,0,0.0068
"736",0.8208,0.0228,0.1564
"737",0.9772,6e-04,0.0222
"738",0.001,0.9974,0.0016
"739",0.0012,0.9962,0.0026
"740",0.9054,0.0094,0.0852
"741",0.0012,0.9972,0.0016
"742",0.03,0.9232,0.0468
"743",0,0.9918,0.0082
"744",0,0.9916,0.0084
"745",4e-04,0.9616,0.038
"746",0,0.9904,0.0096
"747",0,0.9956,0.0044
"748",8e-04,0.9966,0.0026
"749",2e-04,0.7828,0.217
"750",2e-04,0.9858,0.014
"751",0.0014,0.9974,0.0012
"752",6e-04,0.9986,8e-04
"753",0.0146,0.9554,0.03
"754",0.6838,0.0792,0.237
"755",0.9282,0.0012,0.0706
"756",0.9772,2e-04,0.0226
"757",0.9812,2e-04,0.0186
"758",0.9944,2e-04,0.0054
"759",0.999,0,0.001
"760",0.9984,0,0.0016
"761",0.9986,2e-04,0.0012
"762",0.9878,0.0018,0.0104
"763",0.9428,8e-04,0.0564
"764",0.9878,4e-04,0.0118
"765",0.9854,0,0.0146
"766",0.9904,0,0.0096
"767",0.995,0,0.005
"768",0.9978,2e-04,0.002
"769",0.998,0,0.002
"770",0.0022,0.993,0.0048
"771",0.0016,0.9946,0.0038
"772",2e-04,0.9998,0
"773",2e-04,0.999,8e-04
"774",6e-04,0.9966,0.0028
"775",2e-04,0.9982,0.0016
"776",0,0.9988,0.0012
"777",0,0.9616,0.0384
"778",0,0.9632,0.0368
"779",2e-04,0.9992,6e-04
"780",0,1,0
"781",0,1,0
"782",0,1,0
"783",0,1,0
"784",0,1,0
"785",0,1,0
"786",0,0.9998,2e-04
"787",0,0.9998,2e-04
"788",2e-04,0.9996,2e-04
"789",0,1,0
"790",0,0.9998,2e-04
"791",0,0.9996,4e-04
"792",0,1,0
"793",2e-04,0.9998,0
"794",6e-04,0.997,0.0024
"795",0.0038,0.9888,0.0074
"796",0.1176,0.8422,0.0402
"797",6e-04,0.998,0.0014
"798",8e-04,0.9982,0.001
"799",0.0826,0.4578,0.4596
"800",0.1342,0.0288,0.837
"801",0.528,0.0076,0.4644
"802",0.1334,0.0124,0.8542
"803",0.1096,0.0048,0.8856
"804",0.011,0.0104,0.9786
"805",0.1224,0.4556,0.422
"806",0.8878,0.0124,0.0998
"807",4e-04,0.998,0.0016
"808",0,1,0
"809",8e-04,0.997,0.0022
"810",0,1,0
"811",0,0.9994,6e-04
"812",0,0.9984,0.0016
"813",0,0.9986,0.0014
"814",0.0112,0.9678,0.021
"815",2e-04,0.9982,0.0016
"816",2e-04,0.985,0.0148
"817",0,0.3728,0.6272
"818",0,0.2108,0.7892
"819",0,0.0344,0.9656
"820",0,0.0016,0.9984
"821",0,6e-04,0.9994
"822",0,2e-04,0.9998
"823",0.0018,0.9902,0.008
"824",0.0352,0.921,0.0438
"825",0,0.9998,2e-04
"826",0,1,0
"827",0,1,0
"828",0,1,0
"829",0,1,0
"830",0,1,0
"831",0,0.9998,2e-04
"832",0,0.9998,2e-04
"833",0,0.9998,2e-04
"834",0,0.9968,0.0032
"835",0,1,0
"836",2e-04,0.9994,4e-04
"837",0,1,0
"838",0,1,0
"839",0,1,0
"840",0,1,0
"841",0,1,0
"842",0,1,0
"843",0,1,0
"844",0,1,0
"845",0,1,0
"846",0.026,0.968,0.006
"847",0,0.9994,6e-04
"848",0,0.9996,4e-04
"849",0,1,0
"850",0,1,0
"851",0,1,0
"852",0,1,0
"853",0,1,0
"854",0,1,0
"855",0,1,0
"856",0,1,0
"857",0,1,0
"858",0,1,0
"859",0,1,0
"860",0,1,0
"861",0,1,0
"862",0,1,0
"863",0,0.9996,4e-04
"864",0,0.999,0.001
"865",0,0.9816,0.0184
"866",0,0.9932,0.0068
"867",0,0.9964,0.0036
"868",0,0.976,0.024
"869",0,0.8696,0.1304
"870",0,0.861,0.139
"871",0.018,0.1168,0.8652
"872",0,0.9996,4e-04
"873",0,0.9998,2e-04
"874",0,1,0
"875",0,0.9998,2e-04
"876",0,0.9998,2e-04
"877",0,0.9814,0.0186
"878",0,0.9998,2e-04
"879",0,0.9998,2e-04
"880",2e-04,0.999,8e-04
"881",6e-04,0.9938,0.0056
"882",0.0018,0.9484,0.0498
"883",0.0076,0.9828,0.0096
"884",0.0288,0.9242,0.047
"885",0.752,0.0362,0.2118
"886",0.8912,0.0012,0.1076
"887",0.9944,0,0.0056
"888",0.9998,0,2e-04
"889",1,0,0
"890",1,0,0
"891",0.9998,0,2e-04
"892",0.9998,0,2e-04
"893",1,0,0
"894",0.9998,0,2e-04
"895",1,0,0
"896",1,0,0
"897",0.9998,0,2e-04
"898",0.9998,0,2e-04
"899",0.9998,0,2e-04
"900",0.9998,0,2e-04
"901",0.9998,0,2e-04
"902",1,0,0
"903",1,0,0
"904",0.9996,0,4e-04
"905",0.9994,0,6e-04
"906",0.896,6e-04,0.1034
"907",0.9942,0,0.0058
"908",0.9976,0,0.0024
"909",0.998,0,0.002
"910",0.8772,0.0018,0.121
"911",0.9856,0,0.0144
"912",0.993,0,0.007
"913",0.9982,0,0.0018
"914",0.9988,0,0.0012
"915",0.9994,0,6e-04
"916",0.9996,0,4e-04
"917",0.9992,0,8e-04
"918",0.9996,0,4e-04
"919",1,0,0
"920",1,0,0
"921",0.999,6e-04,4e-04
"922",0.9988,0,0.0012
"923",0.9992,0,8e-04
"924",0.9992,0,8e-04
"925",0.9988,0,0.0012
"926",0.9994,0,6e-04
"927",0.9984,0,0.0016
"928",0.999,0,0.001
"929",0.9992,0,8e-04
"930",0.002,0.9952,0.0028
"931",0.001,0.9944,0.0046
"932",6e-04,0.9924,0.007
"933",4e-04,0.9904,0.0092
"934",0,0.9988,0.0012
"935",2e-04,0.9992,6e-04
"936",0,0.9996,4e-04
"937",0,1,0
"938",2e-04,0.9992,6e-04
"939",0.0052,0.1104,0.8844
"940",2e-04,0.0296,0.9702
"941",2e-04,0.0026,0.9972
"942",0.0048,0.0016,0.9936
"943",0.007,0.9828,0.0102
"944",0.02,0.9528,0.0272
"945",0,0.9998,2e-04
"946",0,1,0
"947",0,1,0
"948",0,1,0
"949",0,0.9998,2e-04
"950",0,0.9988,0.0012
"951",8e-04,0.9972,0.002
"tachyglossus_aculeatus",0,1,0
"zaglossus_bruijni",0,1,0
"isoodon_auratus",0,1,0
"perameles_nasuta",0,1,0
"echymipera_clara",0,1,0
"microperoryctes_aplini",0,1,0
"macrotis_lagotis",0,1,0
"parantechinus_apicalis",0,1,0
"dasycercus_cristicauda",0,1,0
"dasyuroides_byrnei",0,1,0
"pseudantechinus_mimulus",0,1,0
"dasyurus_albopunctatus",0,1,0
"sarcophilus_harrisii",0,1,0
"antechinus_bellus",0,1,0
"murexia_naso",0,1,0
"phascogale_tapoatafa",0,1,0
"antechinomys_laniger",0,1,0
"sminthopsis_crassicaudata",0,1,0
"planigale_ingrami",0,1,0
"petrogale_concinna",0,1,0
"dendrolagus_dorianus",1,0,0
"thylogale_billardierii",0,1,0
"macropus_agilis",0,1,0
"wallabia_bicolor",0,1,0
"lagorchestes_conspicillatus",0,1,0
"onychogalea_unguifera",0,1,0
"dorcopsulus_vanheurni",0,0,1
"dorcopsis_hageni",0,0,1
"lagostrophus_fasciatus",0,1,0
"bettongia_gaimardi",0,1,0
"aepyprymnus_rufescens",0,1,0
"potorous_gilbertii",0,1,0
"hypsiprymnodon_moschatus",1,0,0
"pseudochirops_albertisii",0,1,0
"petropseudes_dahli",0,1,0
"hemibelideus_lemuroides",0,1,0
"petauroides_volans",0,1,0
"pseudochirulus_canescens",0,1,0
"pseudocheirus_peregrinus",0,1,0
"gymnobelideus_leadbeateri",0,1,0
"dactylopsila_trivirgata",0,1,0
"tarsipes_rostratus",0,1,0
"distoechurus_pennatus",0,1,0
"acrobates_pygmaeus",0,1,0
"phalanger_gymnotis",0,1,0
"spilocuscus_maculatus",0,0,1
"strigocuscus_celebensis",0,1,0
"ailurops_ursinus",0,0,1
"trichosurus_caninus",0,1,0
"wyulda_squamicaudata",0,1,0
"cercartetus_caudatus",0,1,0
"vombatus_ursinus",0,1,0
"lasiorhinus_krefftii",0,1,0
"phascolarctos_cinereus",0,1,0
"dromiciops_gliroides",0,1,0
"monodelphis_domestica",0,1,0
"marmosa_murina",0,1,0
"metachirus_nudicaudatus",0,1,0
"didelphis_albiventris",0,1,0
"philander_mcilhennyi",0,1,0
"lutreolina_crassicaudata",0,1,0
"hyladelphys_kalinowskii",0,1,0
"glironia_venusta",0,1,0
"caluromys_derbianus",0,1,0
"bradypus_torquatus",0,0,1
"choloepus_hoffmanni",0,1,0
"tamandua_mexicana",0,0,1
"myrmecophaga_tridactyla",1,0,0
"cyclopes_didactylus",0,1,0
"elephantulus_brachyrhynchus",0,0,1
"macroscelides_proboscideus",0,0,1
"petrodromus_tetradactylus",0,0,1
"rhynchocyon_petersi",1,0,0
"orycteropus_afer",0,1,0
"loxodonta_africana",0,0,1
"elephas_maximus",0,0,1
"heterohyrax_brucei",1,0,0
"procavia_capensis",1,0,0
"dendrohyrax_dorsalis",0,1,0
"galictis_cuja",1,0,0
"vormela_peregusna",0,1,0
"mustela_erminea",0,1,0
"melogale_personata",0,1,0
"martes_americana",0,0,1
"gulo_gulo",0,1,0
"eira_barbara",1,0,0
"meles_meles",0,1,0
"arctonyx_collaris",0,0,1
"mellivora_capensis",0,1,0
"taxidea_taxus",0,1,0
"bassaricyon_alleni",0,1,0
"nasuella_olivacea",1,0,0
"nasua_nasua",1,0,0
"procyon_cancrivorus",0,1,0
"bassariscus_astutus",0,1,0
"potos_flavus",0,1,0
"spilogale",0,1,0
"conepatus",0,1,0
"mydaus",0,1,0
"ailurus_fulgens",0,0,1
"ursus_americanus",1,0,0
"helarctos_malayanus",1,0,0
"melursus_ursinus",0,0,1
"ailuropoda_melanoleuca",0,0,1
"canis_lupus",0,1,0
"cuon_alpinus",0,0,1
"lycaon_pictus",0,0,1
"lycalopex_culpaeus",0,0,1
"atelocynus_microtis",1,0,0
"cerdocyon_thous",0,1,0
"chrysocyon_brachyurus",0,1,0
"speothos_venaticus",1,0,0
"vulpes_vulpes",0,1,0
"nyctereutes_procyonoides",0,1,0
"otocyon_megalotis",0,1,0
"urocyon_cinereoargenteus",0,1,0
"bdeogale_crassicauda",0,1,0
"cynictis_penicillata",1,0,0
"paracynictis_selousi",0,1,0
"rhynchogale_melleri",0,1,0
"ichneumia_albicauda",0,1,0
"herpestes_brachyurus",1,0,0
"crossarchus_alexandri",1,0,0
"helogale_hirtula",1,0,0
"helogale_parvula",0,1,0
"liberiictis_kuhni",1,0,0
"mungos_mungo",1,0,0
"suricata_suricatta",1,0,0
"salanoia_concolor",1,0,0
"mungotictis_decemlineata",1,0,0
"galidictis_fasciata",0,1,0
"galidia_elegans",1,0,0
"cryptoprocta_ferox",0,0,1
"eupleres_goudotii",0,0,1
"fossa_fossana",0,1,0
"parahyaena_brunnea",0,1,0
"hyaena_hyaena",0,1,0
"proteles_cristatus",0,1,0
"crocuta_crocuta",0,1,0
"genetta_pardina",0,1,0
"poiana_richardsonii",0,1,0
"viverra_tangalunga",0,1,0
"civettictis_civetta",0,1,0
"viverricula_indica",0,1,0
"paradoxurus_zeylonensis",0,1,0
"paradoxurus_hermaphroditus",0,1,0
"arctictis_binturong",0,0,1
"paguma_larvata",0,1,0
"arctogalidia_trivirgata",0,1,0
"chrotogale_owstoni",0,1,0
"hemigalus_derbyanus",0,1,0
"cynogale_bennettii",0,1,0
"macrogalidia_musschenbroekii",0,1,0
"felis_catus",0,1,0
"prionailurus_bengalensis",0,1,0
"otocolobus_manul",0,0,1
"lynx_canadensis",0,1,0
"puma_concolor",0,1,0
"puma_yagouaroundi",1,0,0
"acinonyx_jubatus",0,1,0
"catopuma_badia",0,0,1
"pardofelis_marmorata",0,1,0
"caracal_caracal",0,1,0
"leptailurus_serval",0,0,1
"leopardus_colocolo",0,1,0
"panthera_leo",0,1,0
"neofelis_nebulosa",0,1,0
"prionodon_linsang",0,1,0
"nandinia_binotata",0,1,0
"equus_zebra",0,0,1
"ceratotherium_simum",1,0,0
"rhinoceros_sondaicus",0,0,1
"dicerorhinus_sumatrensis",0,1,0
"tapirus_bairdii",0,1,0
"capra_caucasica",1,0,0
"hemitragus_jemlahicus",1,0,0
"pseudois_nayaur",1,0,0
"rupicapra_pyrenaica",1,0,0
"budorcas_taxicolor",1,0,0
"oreamnos_americanus",0,0,1
"arabitragus_jayakari",0,0,1
"ammotragus_lervia",1,0,0
"ovis_canadensis",0,0,1
"nilgiritragus_hylocrius",1,0,0
"capricornis_crispus",1,0,0
"naemorhedus_baileyi",0,0,1
"ovibos_moschatus",0,0,1
"oryx_dammah",0,0,1
"addax_nasomaculatus",1,0,0
"hippotragus_equinus",0,0,1
"damaliscus_lunatus",1,0,0
"alcelaphus_buselaphus",1,0,0
"connochaetes_gnou",0,0,1
"gazella_arabica",1,0,0
"gazella_bennettii",0,0,1
"nanger_dama",1,0,0
"eudorcas_rufifrons",0,0,1
"antilope_cervicapra",1,0,0
"antidorcas_marsupialis",0,0,1
"litocranius_walleri",1,0,0
"saiga_tatarica",1,0,0
"ourebia_ourebi",0,0,1
"madoqua_guentheri",0,0,1
"dorcatragus_megalotis",1,0,0
"raphicerus_campestris",0,1,0
"procapra_gutturosa",1,0,0
"kobus_ellipsiprymnus",0,0,1
"redunca_redunca",0,0,1
"pelea_capreolus",0,0,1
"sylvicapra_grimmia",1,0,0
"cephalophus_adersi",1,0,0
"philantomba_maxwellii",1,0,0
"oreotragus_oreotragus",1,0,0
"neotragus_batesi",0,0,1
"aepyceros_melampus",0,0,1
"bos_bison",0,0,1
"bos_javanicus",0,0,1
"bos_taurus",1,0,0
"pseudoryx_nghetinhensis",1,0,0
"bubalus_depressicornis",0,0,1
"syncerus_caffer",0,0,1
"tragelaphus_angasii",0,1,0
"boselaphus_tragocamelus",0,0,1
"tetracerus_quadricornis",0,0,1
"cervus_albirostris",0,0,1
"cervus_timorensis",0,1,0
"elaphurus_davidianus",1,0,0
"dama_dama",0,0,1
"rucervus_duvaucelii",0,0,1
"axis_axis",0,0,1
"muntiacus_reevesi",0,0,1
"elaphodus_cephalophus",0,0,1
"odocoileus_virginianus",0,0,1
"mazama_americana",0,0,1
"pudu_mephistophiles",0,0,1
"ozotoceros_bezoarticus",0,0,1
"rangifer_tarandus",0,0,1
"capreolus_capreolus",0,0,1
"hydropotes_inermis",0,0,1
"alces_alces",0,0,1
"moschus_anhuiensis",0,1,0
"giraffa_camelopardalis",1,0,0
"okapia_johnstoni",1,0,0
"antilocapra_americana",0,0,1
"tragulus_javanicus",0,1,0
"moschiola_meminna",0,1,0
"hyemoschus_aquaticus",0,1,0
"hexaprotodon_liberiensis",0,1,0
"hippopotamus_amphibius",0,0,1
"sus_barbatus",0,0,1
"phacochoerus_aethiopicus",1,0,0
"hylochoerus_meinertzhageni",1,0,0
"potamochoerus_larvatus",0,1,0
"babyrousa_babyrussa",1,0,0
"porcula_salvania",1,0,0
"tayassu_pecari",1,0,0
"pecari_tajacu",1,0,0
"catagonus_wagneri",1,0,0
"lama_guanicoe",1,0,0
"vicugna_vicugna",1,0,0
"camelus_dromedarius",1,0,0
"anathana_ellioti",1,0,0
"tupaia_belangeri",1,0,0
"lepus_alleni",0,1,0
"sylvilagus_aquaticus",0,0,1
"nesolagus_netscheri",0,1,0
"pentalagus_furnessi",0,1,0
"bunolagus_monticularis",0,1,0
"romerolagus_diazi",0,0,1
"brachylagus_idahoensis",0,0,1
"pronolagus_rupestris",0,1,0
"pronolagus_crassicaudatus",0,1,0
"caprolagus_hispidus",0,0,1
"ochotona_princeps",1,0,0
"cynomys_gunnisoni",1,0,0
"spermophilus_alashanicus",1,0,0
"marmota_baibacina",1,0,0
"otospermophilus_beecheyi",1,0,0
"ammospermophilus_harrisii",1,0,0
"tamias_striatus",1,0,0
"paraxerus_alexandri",1,0,0
"protoxerus_stangeri",1,0,0
"sciurus_niger",1,0,0
"rheithrosciurus_macrotis",1,0,0
"sundasciurus_brookei",1,0,0
"callosciurus_erythraeus",1,0,0
"dremomys_lokriah",1,0,0
"prosciurillus_murinus",1,0,0
"exilisciurus_concinnus",1,0,0
"funambulus_layardi",1,0,0
"ratufa_affinis",1,0,0
"graphiurus_murinus",0,1,0
"muscardinus_avellanarius",0,1,0
"eliomys_melanurus",0,1,0
"echimys_chrysurus",0,1,0
"makalata_didelphoides",0,1,0
"toromys_grandis",0,1,0
"pattonomys_semivillosus",0,1,0
"dactylomys_boliviensis",0,1,0
"kannabateomys_amblyonyx",0,1,0
"diplomys_labilis",0,1,0
"mesomys_hispidus",0,1,0
"isothrix_bistriata",0,1,0
"proechimys_simonsi",0,1,0
"myocastor_coypus",0,1,0
"thrichomys_inermis",0,0,1
"mysateles_prehensilis",0,1,0
"capromys_pilorides",0,1,0
"geocapromys_brownii",0,1,0
"plagiodontia_aedium",0,1,0
"octodon_degus",0,0,1
"abrocoma_bennettii",0,0,1
"lagidium_viscacia",1,0,0
"chinchilla_lanigera",0,1,0
"lagostomus_maximus",0,1,0
"dinomys_branickii",0,1,0
"coendou_bicolor",0,1,0
"erethizon_dorsatum",0,1,0
"chaetomys_subspinosus",0,1,0
"cavia_aperea",1,0,0
"microcavia",1,0,0
"kerodon_rupestris",0,0,1
"hydrochoerus_hydrochaeris",0,0,1
"dolichotis_patagonum",1,0,0
"galea_musteloides",1,0,0
"dasyprocta_leporina",1,0,0
"myoprocta_acouchy",1,0,0
"cuniculus_paca",0,1,0
"thryonomys_swinderianus",0,1,0
"hystrix_brachyura",0,1,0
"megadontomys_cryophilus",0,1,0
"scotinomys_xerampelinus",1,0,0
"nyctomys_sumichrasti",0,1,0
"tylomys_nudicaudus",0,1,0
"microtus_pennsylvanicus",0,0,1
"chionomys_roberti",0,0,1
"lagurus_lagurus",0,0,1
"arvicola_sapidus",0,0,1
"myodes_glareolus",0,0,1
"ondatra_zibethicus",0,0,1
"phenacomys_intermedius",0,1,0
"mesocricetus_auratus",0,1,0
"nesomys_audeberti",1,0,0
"hypogeomys_antimena",0,1,0
"cricetomys_emini",0,1,0
"praomys_daltoni",0,1,0
"mus_musculus",0,1,0
"apodemus_agrarius",0,1,0
"tokudaia_osimensis",0,1,0
"grammomys_dolichurus",0,1,0
"dephomys_defua",0,1,0
"aethomys_chrysophilus",0,1,0
"oenomys_hypoxanthus",0,0,1
"melomys_cervinipes",0,1,0
"uromys_caudimaculatus",0,1,0
"mastacomys_fuscus",0,1,0
"pseudomys",0,1,0
"notomys",0,1,0
"leggadina_forresti",0,1,0
"zyzomys_argurus",0,1,0
"hydromys_chrysogaster",0,1,0
"crossomys_moncktoni",1,0,0
"pogonomys_loriae",0,1,0
"hyomys_goliath",0,1,0
"lorentzimys_nouhuysi",0,0,1
"millardia_meltada",0,1,0
"millardia_kathleenae",0,1,0
"chiropodomys_gliroides",0,1,0
"rattus_praetor",0,1,0
"bandicota_bengalensis",0,1,0
"diplothrix_legata",0,1,0
"rattus_norvegicus",0,1,0
"bullimus_bagobus",0,1,0
"sundamys_muelleri",0,1,0
"bunomys_andrewsi",0,1,0
"taeromys_celebensis",0,1,0
"niviventer_eha",0,1,0
"niviventer_cremoriventer",0,1,0
"leopoldamys_edwardsi",0,1,0
"crateromys_heaneyi",0,1,0
"phloeomys_cumingi",0,1,0
"cremnomys_cutchicus",0,1,0
"meriones_unguiculatus",0,1,0
"psammomys_obesus",0,0,1
"taterillus_arenarius",0,1,0
"tatera_indica",0,1,0
"abrothrix_andinus",0,0,1
"wiedomys_pyrrhorhinos",0,1,0
"akodon_affinis",0,0,1
"thaptomys_nigrita",1,0,0
"thomasomys_vulcani",0,1,0
"melanomys_caliginosus",0,1,0
"aegialomys_xanthaeolus",0,0,1
"holochilus_brasiliensis",0,1,0
"cerradomys_subflavus",0,1,0
"oligoryzomys_andinus",0,1,0
"oecomys_auyantepui",0,1,0
"euryoryzomys_lamia",0,1,0
"nephelomys_albigularis",0,1,0
"scolomys_juruaense",0,1,0
"sigmodon_hispidus",0,0,1
